Product_ID,Class_Name,Instructor,Date,Time,Capacity,Status,Price,Stripe_Link,Category,Description
5,Circuit Class (For Everyone),Bekah,1/14/2026,18:30:00,4,Open,25,,Classes,"This is the beginner version of our Circuit Class.  It meets once a week for four weeks and will get you more than ready for our Circuit Class.  The focus remains on strength and mobility, but you'll get the most in-depth instruction and will learn and grow with others who also need a little more help!"
6,Circuits (Intermediate),Bekah,1/16/2026,18:30:00,4,Open,25,,Classes,"A fun, high-energy group class in resistance training. Free-weights, machines, plyometrics - this class focuses on strength and shape. An hour-long 4-week class that meets twice a week."
