Type,Name,Equipment,Muscle_Group,Target_Muscle,Instructions
Lift,Triceps Dip,Assisted,Arms,"Triceps Brachii,","Mountshoulder width dip bar, arms straight with shoulders above hands. Step down onto assistance lever. Keep hips and knees straight. Lower body until slight stretch is felt in shoulders. Push body up until arms are straight. Repeat."
Lift,Triceps Dip:  kneeling,Assisted,Arms,"Triceps Brachii,","Mountshoulder width dip bar, arms straight with shoulders above hands. Kneel on padded platform, lowering it down slightly so hips are slightly bent. Lower body until slight stretch is felt in shoulders. Push body up until arms are straight. Repeat."
Lift,Chest Dip,Assisted,Chest,"Pectoralis Major Sternal,","Mountwide dip barwith oblique grip (bar diagonal under palm), arms straight with shoulders above hands. Step down onto assistance lever with hips and knees bent. Lower body by bending arms, allowing elbows to flare out to sides. When slight stretch is felt in chest or shoulders, push body up until arms are straight. Repeat."
