customer_id_old,source_id_old,customer_id_new,source_id_new
cus_TRPZLtwLAyiFzh,pm_1SUWkMG169MUOFIqDxtlcPKP,cus_TRPZLtwLAyiFzh,pm_1TGpnqLfpHJZVq4IkGMJGZMP
cus_U2CfenChYBIdWf,,cus_U2CfenChYBIdWf,
cus_TqynhbSuVBhcYy,,cus_TqynhbSuVBhcYy,
cus_TOojJDB4epN2uQ,,cus_TOojJDB4epN2uQ,
cus_TTKsDBxXxzg8tF,,cus_TTKsDBxXxzg8tF,
cus_U8FrARi3pRhEC2,,cus_U8FrARi3pRhEC2,
cus_TgQ5VGlARoITQH,,cus_TgQ5VGlARoITQH,
cus_TmmTD1H0HggYuS,,cus_TmmTD1H0HggYuS,
cus_UAOzg0QocqvaRV,,cus_UAOzg0QocqvaRV,
cus_TRQHUDmJiwnhBC,pm_1SUXRdG169MUOFIq3mi571Nb,cus_TRQHUDmJiwnhBC,pm_1TGpnlLfpHJZVq4IxnptXr3z
cus_U7sWouPVmnei9y,,cus_U7sWouPVmnei9y,
cus_TifmykSjHYzL2G,,cus_TifmykSjHYzL2G,
cus_TMfDkbrR22DmMi,,cus_TMfDkbrR22DmMi,
cus_Td2PsNoPemh6q4,,cus_Td2PsNoPemh6q4,
cus_TifnegVGmuCYlF,,cus_TifnegVGmuCYlF,
cus_TMZnmLmRcHFII5,,cus_TMZnmLmRcHFII5,
cus_TyPqZw5p7r0Tb6,,cus_TyPqZw5p7r0Tb6,
cus_Td464QCTFWoYV2,,cus_Td464QCTFWoYV2,
cus_UDojrWvMJ2lfdJ,,cus_UDojrWvMJ2lfdJ,
cus_U63aWooRWjNp1z,pm_1T7rTvG169MUOFIqSGudrlGq,cus_U63aWooRWjNp1z,pm_1TGpnfLfpHJZVq4IHQyjxdyr
cus_TSAW8Va1v6vnhW,card_1SVGBaG169MUOFIqVUm2RLyw,cus_TSAW8Va1v6vnhW,card_1TGpnfLfpHJZVq4IJ5PjBFhC
cus_ThsdXV6iJDvCbj,pm_1SkStXG169MUOFIqVZZZO6Pj,cus_ThsdXV6iJDvCbj,pm_1TGpneLfpHJZVq4I0JeJUhuB
cus_U0fzCjWoq173e4,card_1T2gtOG169MUOFIqNNLDTDKc,cus_U0fzCjWoq173e4,card_1TGpndLfpHJZVq4IwBv1P5MC
cus_Tezux0aYeM5hOo,card_1Shfv2G169MUOFIqb78jyYym,cus_Tezux0aYeM5hOo,card_1TGpncLfpHJZVq4IbW8YsHDk
cus_TZP4yl4s0ANCiZ,card_1ScGsTG169MUOFIqwOVxWEA8,cus_TZP4yl4s0ANCiZ,card_1TGpnbLfpHJZVq4IN06XawUO
cus_TTg8ZnafqsuIW4,pm_1SWimqG169MUOFIqVz8q23Bq,cus_TTg8ZnafqsuIW4,pm_1TGpnbLfpHJZVq4IWKjwz7Md
